analysis_group,model,forget_set,method,beta,gamma,alpha,extraction_strength,extraction_strength_retain,model_utility,extraction_strength_norm,extraction_strength_retain_norm,model_utility_norm,folder
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,NPO,0.2,0.2,,0.10147316753575117,0.5264430395393832,0.5927813452275386,0.11725518348011782,0.46496533704685655,0.6225651709852431,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.2_gamma0.2_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,NPO,0.15,0.2,,0.0826227426821767,0.43942807568976405,0.5844008100436138,0.07415930540884778,0.35690975743385955,0.5425411607562985,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.15_gamma0.2_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,NPO,0.1,0.2,,0.06707671232173965,0.31999139017304046,0.5767607061230471,0.038617940473583946,0.2085927357447067,0.4695873766754946,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.1_gamma0.2_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,NPO,0.05,0.3,,0.051766189565829415,0.17410768739089824,0.548656378237542,0.003614993483187835,0.027433687199247124,0.20122491857123673,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.05_gamma0.3_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,NPO,0.05,0.5,,0.050184967276117626,0.15201589621774608,0.5275830465569123,0.0,0.0,0.0,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.05_gamma0.5_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,NPO,0.05,0.2,,0.0517798642330396,0.2538404885430578,0.5734550559780635,0.0036462565340385808,0.12644624390793036,0.4380224019799768,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.05_gamma0.2_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,NPO,0.05,0.4,,0.05122288662360397,0.1596244254624427,0.533106218161891,0.0023728932368652575,0.009448306373590832,0.05273963193434547,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.05_gamma0.4_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,SimNPO,1.5,0.175,,0.16061702540959086,0.545640149228102,0.5949018114989205,0.2524699867216585,0.4888043955551578,0.642813068150175,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta1.5_gamma0.175_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,SimNPO,2.5,0.05,,0.44123852335636243,0.5841816380186287,0.5893090858832621,0.8940274027285448,0.5366653924016952,0.5894092792449503,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.5_gamma0.05_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,SimNPO,3.5,0.05,,0.4875916450655916,0.5780020967223837,0.5894421760077674,1.0,0.52899160979044,0.5906801295249192,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta3.5_gamma0.05_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,SimNPO,3.5,0.175,,0.2908610740597217,0.5849625885287293,0.5863638715260033,0.5502341848092286,0.5376351803127013,0.5612860319010575,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta3.5_gamma0.175_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,SimNPO,1.5,0.15,,0.1843570540949127,0.5529108960179617,0.5950686686615464,0.306744486611091,0.4978332421332636,0.6444063529459191,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta1.5_gamma0.15_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,SimNPO,1.5,0.125,,0.20284044089933986,0.5666560865952718,0.5926020381307012,0.349001241578429,0.5149020825833863,0.6208530043232672,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta1.5_gamma0.125_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,SimNPO,2.0,0.15,,0.23489244916377966,0.5736043706412528,0.5928894807483058,0.4222786053956009,0.5235304934530589,0.62359773487646,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.0_gamma0.15_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,SimNPO,3.5,0.125,,0.36011366651396204,0.5932335690727704,0.5870482636558735,0.7085595967673238,0.5479061217360492,0.5678211518664735,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta3.5_gamma0.125_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,SimNPO,2.0,0.1,,0.28705134795109566,0.5775583669503139,0.5894001229450672,0.5415243815481551,0.5284405841324233,0.5902785734612759,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.0_gamma0.1_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,SimNPO,2.5,0.1,,0.31986119784121725,0.588582647130652,0.5818177450950797,0.6165343243682625,0.5421305856218364,0.5178760037792095,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.5_gamma0.1_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,SimNPO,2.5,0.15,,0.25196653681453784,0.5624569295103032,0.593317300909027,0.4613134178887381,0.5096875501325487,0.6276829017740789,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.5_gamma0.15_epoch5
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,1.2,,0.9,0.10274366718358778,0.9373855189755962,0.6302504879457568,0.12015980225333213,0.9752755852913194,0.9803503236451777,evals_a0.9_b1.2
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,1.2,,0.8,0.11718182489271298,0.9332219444131757,0.6323083053879619,0.15316834657206874,0.9701052393795313,1.0,evals_a0.8_b1.2
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,1.2,,1.2,0.08348208846806995,0.9313001917687133,0.6265584293957511,0.07612394342086017,0.9677187981666258,0.9450956144067699,evals_a1.2_b1.2
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,1.2,,1.0,0.09333531138630181,0.9383068622793235,0.6283593824570175,0.0986504008769447,0.9764197136147978,0.9622925455136369,evals_a1.0_b1.2
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,1.2,,1.1,0.08779936735433776,0.9334889825295829,0.6278738887446298,0.08599411483224802,0.9704368485323778,0.9576566657095971,evals_a1.1_b1.2
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,0.8,,0.9,0.09859126064361119,0.9531003716351725,0.6284859891189896,0.11066656232164741,0.9947903611130736,0.9635014865407134,evals_a0.9_b0.8
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,1.0,,0.9,0.09464447917475949,0.9484455016620827,0.6279760650651326,0.10164342282867582,0.989009922315965,0.9586323264207119,evals_a0.9_b1.0
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,0.7,,1.1,0.08630431434212646,0.9507385228558357,0.6144572916948144,0.08257612171936995,0.99185740650942,0.8295443344575923,evals_a1.1_b0.7
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,0.9,,1.1,0.08844398001485917,0.9458712141737737,0.6241771686488662,0.08746782955416105,0.9858131603530405,0.9223574443276052,evals_a1.1_b0.9
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,1.1,,1.1,0.08935164243190022,0.9425447841390893,0.6277115345540258,0.08954292914255349,0.9816823843400653,0.9561063788693814,evals_a1.1_b1.1
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,0.7,,1.0,0.0900238664440815,0.9539056213789944,0.6188785142133129,0.09107976899049204,0.9957903239235192,0.871761680758269,evals_a1.0_b0.7
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,0.8,,1.2,0.07626859218732135,0.9348670768155728,0.585139427665482,0.059632434152635194,0.9721481723121743,0.5495940688141321,evals_a1.2_b0.8
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,0.8,,0.8,0.10854018244329472,0.9547256051446636,0.6291835341615796,0.13341180674718403,0.9968085835096033,0.9701622009698402,evals_a0.8_b0.8
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,1.0,,0.8,0.10894942365234153,0.9474282197493179,0.6300522536460045,0.13434741479760293,0.9877466569895137,0.9784574250076856,evals_a0.8_b1.0
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,1.1,,1.0,0.09268426423195984,0.9484221478229395,0.6279581220642357,0.09716197560270752,0.9889809214118312,0.9584609923882432,evals_a1.0_b1.1
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,0.8,,1.0,0.0931958445469532,0.9508661382836933,0.6254384884541803,0.09833155151677161,0.9920158799307104,0.9344015282419638,evals_a1.0_b0.8
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,1.0,,1.0,0.0913062877089092,0.9479477337804844,0.6277789792790919,0.09401164298772656,0.9883917918866768,0.9567503947049005,evals_a1.0_b1.0
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,0.7,,1.2,0.07528496527038135,0.9344528024146576,0.574562352132938,0.05738366437639181,0.9716337244686162,0.4485957456721702,evals_a1.2_b0.7
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,0.9,,1.2,0.08468254109080395,0.9406641595255352,0.6170870161808459,0.07886842054864598,0.9793470161038242,0.8546550337806081,evals_a1.2_b0.9
Llama-2-7b-chat-hf_forget10,Llama-2-7b-chat-hf,forget10,TVC,0.9,,0.8,0.10746227677161052,0.954474335188205,0.6299979143028126,0.13094749669793737,0.9964965553298137,0.9779385497735882,evals_a0.8_b0.9
