model,forget_set,method,beta,gamma,epoch,dir_name,exact_memorization,extraction_strength,extraction_strength_retain,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak,retain_Q_A_Prob,retain_Q_A_ROUGE,alpha,lr,composite_score
Llama-2-7B,forget05,NPO,0.05,0.2,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.05_gamma0.2_epoch5,0.6064505918323994,0.05120232730511189,0.2872537113352484,0.055241736773095906,0.2666122225621538,0.6284308022715471,0.6798550962478985,0.570380703798709,41.51765067958721,0.5331421559862792,0.5230174066900514,,,0.7969224630211964
Llama-2-7B,forget05,SimNPO,2.0,0.2,5,tofu_Llama-2-7b-chat-hf_forget05_SimNPO_beta2.0_gamma0.2_epoch5,0.7948337599635125,0.14846656885778875,0.6960918003772768,0.18607803351245822,0.365870373766121,2.3797467071606504e-06,0.5826120440184958,0.6105518053512804,-10.825497146473653,0.880147214308381,0.6749920379064633,,,0.761100158320511
Llama-2-7B,forget10,NPO,0.05,0.2,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.05_gamma0.2_epoch5,0.5282708324305713,0.0517798642330396,0.2538404885430578,0.026752039372344924,0.2595905606452293,0.13142600454226117,0.650308582345046,0.5734550559780635,61.45944788212577,0.5371267723990605,0.5284853764914128,,,0.7598963334345077
Llama-2-7B,forget10,SimNPO,2.0,0.2,5,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.0_gamma0.2_epoch5,0.7197890544682741,0.0835326204098282,0.5561382034752377,0.11165947554502054,0.34120839084758914,6.923241573443553e-05,0.6175537415462845,0.6137367236859064,26.434532721684313,0.8426174907758832,0.6039060079766545,,,0.8677367095427212
